year,Time Code,Country Name,ccode,corruption,regulatory
2022,YR2022,Pakistan,PAK,-0.804032683372498,-0.886412620544434
2022,YR2022,Palau,PLW,0.601521968841553,0.442982524633408
2022,YR2022,Panama,PAN,-0.634607255458832,0.127132147550583
2022,YR2022,Papua New Guinea,PNG,-0.696246027946472,-0.682209134101868
2022,YR2022,Paraguay,PRY,-1.09022343158722,-0.169901669025421
2022,YR2022,Peru,PER,-0.807577431201935,0.20857498049736
2022,YR2022,Philippines,PHL,-0.540948450565338,0.0627855956554413
2022,YR2022,Poland,POL,0.506694495677948,0.717305660247803
2022,YR2022,Portugal,PRT,0.729021430015564,0.762673318386078
2022,YR2022,Puerto Rico,PRI,0.115151450037956,0.848512649536133
2022,YR2022,Qatar,QAT,0.803727507591248,0.870516777038574
2022,YR2022,Reunion,REU,0.632126808166504,0.972116887569427
2022,YR2022,Romania,ROU,0.0166723933070898,0.364533066749573
2022,YR2022,Russian Federation,RUS,-0.97938734292984,-1.14197266101837
2022,YR2022,Rwanda,RWA,0.561202585697174,0.16292978823185
2022,YR2022,Samoa,WSM,0.55392199754715,-0.272904604673386
2022,YR2022,San Marino,SMR,1.27020359039307,0.545899748802185
2022,YR2022,Sao Tome and Principe,STP,0.284455984830856,-0.89024293422699
2022,YR2022,Saudi Arabia,SAU,0.35694831609726,0.418585479259491
2022,YR2022,Senegal,SEN,-0.0287281088531017,-0.296521306037903
2022,YR2022,Serbia,SRB,-0.456187754869461,0.137092441320419
2022,YR2022,Seychelles,SYC,1.69814908504486,0.327582836151123
2022,YR2022,Sierra Leone,SLE,-0.563655316829681,-1.05557787418365
2022,YR2022,Singapore,SGP,2.09472370147705,2.21437835693359
2022,YR2022,Slovak Republic,SVK,0.213603869080544,0.850252985954285
2022,YR2022,Slovenia,SVN,0.76738029718399,0.694944024085999
2022,YR2022,Solomon Islands,SLB,-0.184422299265862,-0.766386210918427
2022,YR2022,Somalia,SOM,-1.79245460033417,-1.90015578269958
2022,YR2022,South Africa,ZAF,-0.319765210151672,-0.185125753283501
2022,YR2022,South Sudan,SSD,-1.85575520992279,-2.10399270057678
2022,YR2022,Spain,ESP,0.68531209230423,0.797074437141418
2022,YR2022,Sri Lanka,LKA,-0.383287221193314,-0.65364283323288
2022,YR2022,St. Kitts and Nevis,KNA,0.3897884786129,0.584444940090179
