year,Time Code,Country Name,ccode,gdp_per_capita,gdp
2016,YR2016,"Congo, Rep.",COG,2189.16272253619,11354801749.1561
2016,YR2016,Costa Rica,CRI,11893.323254213,58814921623.3502
2016,YR2016,Cote d'Ivoire,CIV,2027.83397580544,49101205368.91
2016,YR2016,Croatia,HRV,12666.0872076662,52872668469.2341
2016,YR2016,Cuba,CUB,7721.70356978028,87579654548.8907
2016,YR2016,Curacao,CUW,18953.0537415003,3026120372.58291
2016,YR2016,Cyprus,CYP,24916.619140625,21218020833.6544
2016,YR2016,Czechia,CZE,18247.0117295456,192803983942.274
2016,YR2016,Denmark,DNK,54556.0689545694,312497708532.463
2016,YR2016,Djibouti,DJI,2538.05401932202,2597091693.86547
2016,YR2016,Dominica,DMA,7929.80528358816,555681105.24744
2016,YR2016,Dominican Republic,DOM,7209.99020214435,75903835172.1732
2016,YR2016,Ecuador,ECU,5872.45971953305,96540800718.3398
2016,YR2016,"Egypt, Arab Rep.",EGY,3444.26826193572,343682967577.042
2016,YR2016,El Salvador,SLV,3845.02249284043,24033351541.724
2016,YR2016,Equatorial Guinea,GNQ,8594.45021923839,12023008461.8485
2016,YR2016,Eritrea,ERI,..,..
2016,YR2016,Estonia,EST,17945.9449641749,23613094924.4117
2016,YR2016,Eswatini,SWZ,3594.16706693255,4106422133.98005
2016,YR2016,Ethiopia,ETH,671.290575859576,70682351658.2336
2016,YR2016,Faroe Islands,FRO,52762.4287215325,2611740221.71586
2016,YR2016,Fiji,FJI,5223.37600776808,4796997047.62998
2016,YR2016,Finland,FIN,43878.9667273579,241128217493.75
2016,YR2016,France,FRA,36956.7958003293,2465909086487.94
2016,YR2016,French Polynesia,PYF,18573.3849253968,5452049984.38591
2016,YR2016,Gabon,GAB,7038.57727823083,14683922149.3088
2016,YR2016,"Gambia, The",GMB,606.316200252264,1404959537.12175
2016,YR2016,Georgia,GEO,4225.09154904806,15749049874.5344
2016,YR2016,Germany,DEU,41682.0322433511,3432459876455.05
2016,YR2016,Ghana,GHA,1728.09708561644,51072704881.7252
2016,YR2016,Gibraltar,GIB,..,..
